name,address,description,interest
Debit Card,0,"1,55,220.13","12,41,761.08"
Purchase,"2,53,208.22",0,"14,94,969.30"
ATM,"3,10,376.00",0,"18,05,345.30"
RTGS,14.1,0,"18,05,359.40"
Debit Card,0,"18,05,359.40",0
Transfer,"1,336.85",0,"1,336.85"
Purchase,"12,04,322.50",0,"12,05,659.35"
NEFT,34.87,0,"12,05,694.22"
Interest,4.4,0,"12,05,698.62"
ATM,"5,960.00",0,"12,11,658.62"
Interest,"3,908.00",0,"12,15,566.62"
Cash,55.2,0,"12,15,621.82"
Reversal,0,"12,15,621.82",0
ATM,47.8,0,47.8
Bill,431.61,0,479.41
NEFT,3.2,0,482.61
Purchase,0,53.62,428.99
Cheque,"20,897.21",0,"21,326.20"
Commission,0,"21,326.20",0
Transfer,4,0,4
RTGS,"6,122.45",0,"6,126.45"
RTGS,"19,119.01",0,"25,245.46"
Purchase,260.8,0,"25,506.26"
ATM,0,"2,550.63","22,955.63"
Tax,"19,270.00",0,"42,225.63"
ATM,0,"4,691.74","37,533.89"
Reversal,0,"7,506.78","30,027.11"
ATM,0,"3,336.35","26,690.76"
Commission,0,"3,812.97","22,877.79"
RTGS,0,"4,575.56","18,302.23"
RTGS,25.07,0,"18,327.30"
Bill,300.8,0,"18,628.10"
Tax,"1,42,075.80",0,"1,60,703.90"
Commission,0,"20,087.99","1,40,615.91"
Commission,"5,82,079.50",0,"7,22,695.41"
Transfer,"3,668.50",0,"7,26,363.91"
Reversal,8.7,0,"7,26,372.61"
Cheque,0.4,0,"7,26,373.01"
Reversal,0,"1,03,767.57","6,22,605.44"
Debit Card,0,"62,260.54","5,60,344.90"
ATM,0,"56,034.49","5,04,310.41"
IMPS,"2,28,684.00",0,"7,32,994.41"
Tax,0,"3,66,497.21","3,66,497.20"
Interest,502.1,0,"3,66,999.30"
Debit Card,"1,290.00",0,"3,68,289.30"
IMPS,0,"61,381.55","3,06,907.75"
RTGS,"1,078.00",0,"3,07,985.75"
Commission,"2,32,101.00",0,"5,40,086.75"
IMPS,82,0,"5,40,168.75"
Tax,"3,650.70",0,"5,43,819.45"
Tax,5.4,0,"5,43,824.85"
Cheque,"19,023.20",0,"5,62,848.05"
Debit Card,17.24,0,"5,62,865.29"
Interest,0,"1,40,716.32","4,22,148.97"
Transfer,0,"52,768.62","3,69,380.35"
Tax,0,"61,563.39","3,07,816.96"
ATM,0,"30,781.70","2,77,035.26"
Commission,0,"34,629.41","2,42,405.85"
IMPS,0,"24,240.59","2,18,165.26"
Tax,"9,58,705.25",0,"11,76,870.51"
Interest,0,"3,92,290.17","7,84,580.34"
Reversal,0,"87,175.59","6,97,404.75"
Commission,4.5,0,"6,97,409.25"
NEFT,0,"1,74,352.31","5,23,056.94"
IMPS,0,"5,23,056.94",0
Miscellaneous,"2,705.47",0,"2,705.47"
Bill,46.9,0,"2,752.37"
Tax,319,0,"3,071.37"
Cheque,0,307.14,"2,764.23"
Tax,"5,604.80",0,"8,369.03"
NEFT,0,"1,195.58","7,173.45"
IMPS,0,717.35,"6,456.10"
RTGS,0,717.34,"5,738.76"
Tax,0,"5,738.76",0
Cash,338.9,0,338.9
RTGS,2.7,0,341.6
Purchase,0,34.16,307.44
ATM,0,34.16,273.28
Transfer,"4,479.60",0,"4,752.88"
Interest,"6,543.00",0,"11,295.88"
Purchase,"2,804.00",0,"14,099.88"
Tax,0,"2,014.27","12,085.61"
Transfer,187,0,"12,272.61"
Bill,0,"6,136.31","6,136.30"
Bill,29,0,"6,165.30"
Miscellaneous,42.9,0,"6,208.20"
Miscellaneous,0,"1,552.05","4,656.15"
Interest,110.1,0,"4,766.25"
Reversal,0,"2,383.13","2,383.12"
Transfer,"99,904.00",0,"1,02,287.12"
Cheque,"5,925.40",0,"1,08,212.52"
Reversal,"14,98,761.00",0,"16,06,973.52"
NEFT,0,"2,29,567.65","13,77,405.87"
Cash,0,"13,77,405.87",0
NEFT,"17,32,884.00",0,"17,32,884.00"
Commission,0,"3,46,576.80","13,86,307.20"
Reversal,0,"4,62,102.40","9,24,204.80"
Reversal,0,"1,84,840.96","7,39,363.84"
NEFT,"7,13,839.50",0,"14,53,203.34"
IMPS,"4,928.74",0,"14,58,132.08"
Purchase,827.61,0,"14,58,959.69"
Bill,"2,42,815.60",0,"17,01,775.29"
Cash,0,"2,83,629.22","14,18,146.08"
Purchase,"1,646.47",0,"14,19,792.55"
NEFT,0,"7,09,896.28","7,09,896.28"
Reversal,0,"1,77,474.07","5,32,422.21"
Interest,"6,79,429.50",0,"12,11,851.71"
IMPS,44,0,"12,11,895.71"
Commission,0,"1,51,486.96","10,60,408.75"
Bill,0,"3,53,469.58","7,06,939.17"
Miscellaneous,0,"1,41,387.83","5,65,551.34"
Miscellaneous,0,"5,65,551.34",0
Cheque,"4,66,426.00",0,"4,66,426.00"
Interest,339.5,0,"4,66,765.50"
Tax,"28,248.00",0,"4,95,013.50"
Cash,0,"55,001.50","4,40,012.00"
Tax,32.24,0,"4,40,044.24"
Commission,0,"1,10,011.06","3,30,033.18"
Miscellaneous,0,"3,30,033.18",0
ATM,"13,11,294.00",0,"13,11,294.00"
RTGS,76.7,0,"13,11,370.70"
RTGS,"1,18,051.00",0,"14,29,421.70"
Interest,"30,643.00",0,"14,60,064.70"
RTGS,3,0,"14,60,067.70"
Transfer,321.2,0,"14,60,388.90"
Reversal,0,"1,62,265.43","12,98,123.47"
RTGS,"3,809.00",0,"13,01,932.47"
Commission,0,"3,25,483.12","9,76,449.35"
Transfer,"2,24,268.80",0,"12,00,718.15"
IMPS,0,"1,33,413.13","10,67,305.02"
Bill,0,"1,33,413.13","9,33,891.89"
Bill,0,"3,11,297.30","6,22,594.59"
Miscellaneous,45.2,0,"6,22,639.79"
Tax,0,"1,03,773.30","5,18,866.49"
Transfer,"28,775.04",0,"5,47,641.53"
RTGS,0,"54,764.15","4,92,877.38"
Cash,0,"82,146.23","4,10,731.15"
Commission,"1,00,981.00",0,"5,11,712.15"
Cash,0,"56,856.91","4,54,855.24"
Transfer,393,0,"4,55,248.24"
Interest,34.3,0,"4,55,282.54"
NEFT,0,"75,880.42","3,79,402.12"
Debit Card,0,"3,79,402.12",0
Cheque,168,0,168
Bill,0,28,140
Tax,0,20,120
Cash,"2,40,878.40",0,"2,40,998.40"
IMPS,0,"48,199.68","1,92,798.72"
Cheque,0,"96,399.36","96,399.36"
ATM,78.3,0,"96,477.66"
Reversal,0,"12,059.71","84,417.95"
Commission,"11,66,038.00",0,"12,50,455.95"
Commission,"11,97,256.00",0,"24,47,711.95"
Transfer,0,"3,05,963.99","21,41,747.96"
Debit Card,0,"2,14,174.80","19,27,573.16"
Cash,4.64,0,"19,27,577.80"
Commission,0,"2,14,175.31","17,13,402.49"
Miscellaneous,"30,227.60",0,"17,43,630.09"
IMPS,0,"2,49,090.01","14,94,540.08"
ATM,3.31,0,"14,94,543.39"
Purchase,5,0,"14,94,548.39"
Transfer,0,"2,13,506.91","12,81,041.48"
Cash,0,"6,40,520.74","6,40,520.74"
NEFT,313.46,0,"6,40,834.20"
Cheque,0,"3,20,417.10","3,20,417.10"
Purchase,355.5,0,"3,20,772.60"
Reversal,0,"53,462.10","2,67,310.50"
Reversal,231,0,"2,67,541.50"
Bill,44,0,"2,67,585.50"
Debit Card,0,"2,67,585.50",0
ATM,"3,734.70",0,"3,734.70"
NEFT,0,933.68,"2,801.02"
Debit Card,7.6,0,"2,808.62"
Transfer,0,468.1,"2,340.52"
NEFT,0,390.09,"1,950.43"
Reversal,0,278.63,"1,671.80"
Commission,0,417.95,"1,253.85"
NEFT,0,250.77,"1,003.08"
Miscellaneous,"1,168.00",0,"2,171.08"
Transfer,"2,03,333.00",0,"2,05,504.08"
Bill,0,"1,02,752.04","1,02,752.04"
Interest,0,"12,844.01","89,908.03"
Cash,0,"89,908.03",0
NEFT,48.46,0,48.46
Purchase,"50,356.00",0,"50,404.46"
IMPS,0,"5,040.45","45,364.01"
Transfer,7.48,0,"45,371.49"
ATM,5,0,"45,376.49"
Cash,70,0,"45,446.49"
RTGS,8.06,0,"45,454.55"
RTGS,0,"6,493.51","38,961.04"
Bill,12,0,"38,973.04"
ATM,0,"19,486.52","19,486.52"
Bill,38.9,0,"19,525.42"
IMPS,0,"9,762.71","9,762.71"
Cheque,0,"9,762.71",0
Bill,210.42,0,210.42
Transfer,"10,185.00",0,"10,395.42"
Commission,"4,19,442.50",0,"4,29,837.92"
Bill,0,"71,639.65","3,58,198.27"
Purchase,0,"71,639.65","2,86,558.62"
Tax,"32,135.40",0,"3,18,694.02"
Reversal,"17,776.21",0,"3,36,470.23"
Reversal,1.25,0,"3,36,471.48"
Bill,"25,459.90",0,"3,61,931.38"
RTGS,"2,45,185.00",0,"6,07,116.38"
Debit Card,0,"75,889.55","5,31,226.83"
Cheque,0,"66,403.35","4,64,823.48"
Purchase,0,"92,964.70","3,71,858.78"
ATM,0,"46,482.35","3,25,376.43"
Transfer,"2,913.07",0,"3,28,289.50"
ATM,"2,114.90",0,"3,30,404.40"
Miscellaneous,0,"1,10,134.80","2,20,269.60"
NEFT,"61,521.00",0,"2,81,790.60"
IMPS,0,"35,223.83","2,46,566.77"
Cash,0,"24,656.68","2,21,910.09"
RTGS,0,"27,738.76","1,94,171.33"
ATM,0,"21,574.59","1,72,596.74"
Debit Card,5,0,"1,72,601.74"
Commission,454,0,"1,73,055.74"
Purchase,0,"57,685.25","1,15,370.49"
Cheque,0,"12,818.94","1,02,551.55"
Tax,0,"12,818.94","89,732.61"
Reversal,0,"14,955.44","74,777.18"
Interest,209.1,0,"74,986.28"
Transfer,0,"14,997.26","59,989.02"
ATM,0,"8,569.86","51,419.16"
Reversal,0,"17,139.72","34,279.44"
Cash,0,"17,139.72","17,139.72"
Interest,0,"4,284.93","12,854.79"
RTGS,0,"1,836.40","11,018.39"
NEFT,"1,71,858.25",0,"1,82,876.64"
Debit Card,0,"30,479.44","1,52,397.20"
Debit Card,0,"1,52,397.20",0
Debit Card,12.34,0,12.34
Bill,"20,11,829.00",0,"20,11,841.34"
Transfer,"16,27,855.00",0,"36,39,696.34"
RTGS,"2,003.07",0,"36,41,699.41"
Cash,0,"7,28,339.88","29,13,359.53"
Purchase,"1,35,319.03",0,"30,48,678.56"
Purchase,4,0,"30,48,682.56"
ATM,17,0,"30,48,699.56"
IMPS,"31,021.93",0,"30,79,721.49"
Tax,0,"6,15,944.30","24,63,777.19"
Reversal,0,"8,21,259.06","16,42,518.13"
Purchase,0,"2,34,645.45","14,07,872.68"
RTGS,336.1,0,"14,08,208.78"
Reversal,"3,978.00",0,"14,12,186.78"
IMPS,2.2,0,"14,12,188.98"
Cash,77,0,"14,12,265.98"
NEFT,0,"1,41,226.60","12,71,039.38"
Reversal,0,"2,54,207.88","10,16,831.50"
Miscellaneous,421.67,0,"10,17,253.17"
Bill,0,"2,54,313.29","7,62,939.88"
Interest,0,"95,367.49","6,67,572.40"
Tax,"17,48,740.20",0,"24,16,312.60"
Reversal,"72,646.00",0,"24,88,958.60"
Reversal,441,0,"24,89,399.60"
Interest,0,"6,22,349.90","18,67,049.70"
NEFT,34.88,0,"18,67,084.58"
ATM,3,0,"18,67,087.58"
Bill,204.15,0,"18,67,291.73"
Tax,"1,66,500.31",0,"20,33,792.04"
Interest,5.9,0,"20,33,797.94"
Miscellaneous,0,"2,90,542.56","17,43,255.38"
ATM,0,"1,93,695.04","15,49,560.34"
Commission,0,"1,93,695.04","13,55,865.30"
ATM,0,"2,25,977.55","11,29,887.75"
Cheque,"2,844.33",0,"11,32,732.08"
Tax,0,"1,13,273.21","10,19,458.87"
Miscellaneous,0,"2,03,891.77","8,15,567.10"
Miscellaneous,0,"1,35,927.85","6,79,639.25"
Purchase,180.5,0,"6,79,819.75"
Debit Card,6.42,0,"6,79,826.17"
Interest,"3,038.40",0,"6,82,864.57"
ATM,0,"2,27,621.52","4,55,243.05"
Debit Card,6.62,0,"4,55,249.67"
ATM,19.2,0,"4,55,268.87"
Cash,"14,205.20",0,"4,69,474.07"
RTGS,0,"93,894.81","3,75,579.26"
Reversal,0,"46,947.41","3,28,631.85"
Tax,"1,78,834.00",0,"5,07,465.85"
Cheque,211.34,0,"5,07,677.19"
Debit Card,0,"2,53,838.60","2,53,838.60"
IMPS,0,"31,729.83","2,22,108.78"
Commission,0,"2,22,108.78",0
IMPS,"1,269.60",0,"1,269.60"
Commission,"17,69,884.20",0,"17,71,153.80"
Cash,"3,271.00",0,"17,74,424.80"
Transfer,"1,79,027.20",0,"19,53,452.00"
Tax,0,"1,95,345.20","17,58,106.80"
Cheque,0,"8,79,053.40","8,79,053.40"
Tax,0,"87,905.34","7,91,148.06"
IMPS,0,"79,114.81","7,12,033.25"
Cheque,"2,34,671.31",0,"9,46,704.56"
Tax,0,"3,15,568.19","6,31,136.37"
Reversal,0,"90,162.34","5,40,974.03"
Commission,2,0,"5,40,976.03"
Purchase,7,0,"5,40,983.03"
IMPS,"11,17,669.00",0,"16,58,652.03"
Purchase,18.02,0,"16,58,670.05"
Transfer,0,"16,58,670.05",0
IMPS,151,0,151
Transfer,"1,89,757.03",0,"1,89,908.03"
NEFT,0,"23,738.50","1,66,169.53"
Tax,6.1,0,"1,66,175.63"
Miscellaneous,0,"18,463.96","1,47,711.67"
RTGS,51,0,"1,47,762.67"
Purchase,0,"18,470.33","1,29,292.34"
Cheque,0,"14,365.82","1,14,926.52"
Transfer,"2,26,485.00",0,"3,41,411.52"
Miscellaneous,"8,759.00",0,"3,50,170.52"
Reversal,0,"50,024.36","3,00,146.16"
Tax,"40,821.00",0,"3,40,967.16"
Cash,0,"37,885.24","3,03,081.92"
Cash,0,"37,885.24","2,65,196.68"
Purchase,43.86,0,"2,65,240.54"
IMPS,384.09,0,"2,65,624.63"
NEFT,1.7,0,"2,65,626.33"
Transfer,20,0,"2,65,646.33"
Cheque,0,"53,129.27","2,12,517.06"
Debit Card,"20,782.80",0,"2,33,299.86"
Commission,16,0,"2,33,315.86"
Cheque,0,"77,771.95","1,55,543.91"
Bill,"19,545.00",0,"1,75,088.91"
Bill,0,"25,012.70","1,50,076.21"
Purchase,94,0,"1,50,170.21"
Reversal,0,"30,034.04","1,20,136.17"
Bill,0,"60,068.09","60,068.08"
RTGS,0,"6,006.81","54,061.27"
Debit Card,3.01,0,"54,064.28"
Reversal,0,"6,007.14","48,057.14"
Debit Card,"6,03,223.00",0,"6,51,280.14"
Transfer,0,"93,040.02","5,58,240.12"
RTGS,458,0,"5,58,698.12"
Purchase,0,"69,837.27","4,88,860.86"
Purchase,175.87,0,"4,89,036.73"
Purchase,"3,657.62",0,"4,92,694.35"
Tax,0,"4,92,694.35",0
IMPS,"3,058.00",0,"3,058.00"
Interest,"3,285.00",0,"6,343.00"
Miscellaneous,"20,25,649.00",0,"20,31,992.00"
Transfer,0,"2,90,284.57","17,41,707.43"
Cheque,0,"17,41,707.43",0
Transfer,35.26,0,35.26
NEFT,"10,539.00",0,"10,574.26"
Miscellaneous,0,"5,287.13","5,287.13"
IMPS,57,0,"5,344.13"
NEFT,0,"1,068.83","4,275.30"
Cheque,0,"1,425.10","2,850.20"
NEFT,"51,834.60",0,"54,684.80"
Cheque,505.92,0,"55,190.72"
Purchase,"3,030.20",0,"58,220.92"
Transfer,0,"11,644.18","46,576.74"
Commission,0,"4,657.67","41,919.07"
Miscellaneous,122.81,0,"42,041.88"
Commission,0,"5,255.24","36,786.64"
ATM,0,"9,196.66","27,589.98"
Interest,0,"9,196.66","18,393.32"
Debit Card,0,"18,393.32",0
Reversal,40,0,40
Debit Card,0,5,35
NEFT,0,35,0
RTGS,1,0,1
Tax,4,0,5
Bill,0,1.25,3.75
Cheque,0,0.38,3.38
ATM,2,0,5.38
Transfer,0,0.54,4.84
Purchase,0,0.48,4.36
Tax,0,0.44,3.92
RTGS,7,0,10.92
Purchase,0,1.56,9.36
Purchase,0,1.87,7.49
Debit Card,43.83,0,51.32
Bill,0,7.33,43.99
Debit Card,63,0,106.99
ATM,"3,808.93",0,"3,915.92"
RTGS,0,435.1,"3,480.82"
Commission,0,696.16,"2,784.66"
NEFT,5.8,0,"2,790.46"
Tax,0,697.62,"2,092.85"
Debit Card,0,"2,092.85",0
Tax,40,0,40
Tax,213.4,0,253.4
IMPS,0,25.34,228.06
Purchase,56.6,0,284.66
Purchase,"15,39,207.00",0,"15,39,491.66"
Reversal,"1,63,281.00",0,"17,02,772.66"
Miscellaneous,411,0,"17,03,183.66"
RTGS,0,"1,89,242.63","15,13,941.03"
Cheque,"3,403.15",0,"15,17,344.18"
RTGS,"1,032.44",0,"15,18,376.62"
RTGS,"12,593.60",0,"15,30,970.22"
Reversal,0,"2,55,161.70","12,75,808.52"
Miscellaneous,"1,31,757.00",0,"14,07,565.52"
Reversal,0,"2,34,594.25","11,72,971.27"
Cash,"3,787.30",0,"11,76,758.57"
Reversal,0,"3,92,252.86","7,84,505.71"
Reversal,"41,398.00",0,"8,25,903.71"
RTGS,0,"2,06,475.93","6,19,427.78"
Cash,0,"6,19,427.78",0
Interest,33.1,0,33.1
Tax,"30,221.30",0,"30,254.40"
Tax,0,"10,084.80","20,169.60"
Purchase,2,0,"20,171.60"
Debit Card,5,0,"20,176.60"
ATM,0,"2,522.08","17,654.52"
Reversal,0,"8,827.26","8,827.26"
Debit Card,0,"1,103.41","7,723.85"
Interest,"2,20,761.20",0,"2,28,485.05"
RTGS,"1,55,257.25",0,"3,83,742.30"
NEFT,0,"95,935.58","2,87,806.72"
Miscellaneous,43.5,0,"2,87,850.22"
Purchase,0,"57,570.04","2,30,280.18"
Purchase,0,"23,028.02","2,07,252.16"
ATM,14.83,0,"2,07,266.99"
Reversal,49,0,"2,07,315.99"
Tax,0,"25,914.50","1,81,401.49"
RTGS,"2,170.00",0,"1,83,571.49"
Interest,0,"36,714.30","1,46,857.19"
RTGS,"23,331.70",0,"1,70,188.89"
RTGS,"23,547.40",0,"1,93,736.29"
Purchase,0,"38,747.26","1,54,989.03"
Debit Card,52,0,"1,55,041.03"
ATM,0,"25,840.17","1,29,200.86"
Purchase,0,"18,457.27","1,10,743.59"
Transfer,"18,065.10",0,"1,28,808.69"
Cash,164,0,"1,28,972.69"
NEFT,0,"64,486.35","64,486.34"
Bill,3.9,0,"64,490.24"
ATM,"4,433.00",0,"68,923.24"
Interest,"9,834.00",0,"78,757.24"
Reversal,7,0,"78,764.24"
Bill,185,0,"78,949.24"
Bill,0,"11,278.46","67,670.78"
Miscellaneous,"16,275.00",0,"83,945.78"
Commission,0,"16,789.16","67,156.62"
Commission,0,"33,578.31","33,578.31"
Interest,0.8,0,"33,579.11"
Debit Card,2.95,0,"33,582.06"
Reversal,"15,520.20",0,"49,102.26"
RTGS,6.54,0,"49,108.80"
Debit Card,301.3,0,"49,410.10"
Cheque,"2,45,433.00",0,"2,94,843.10"
Bill,0,"2,94,843.10",0
IMPS,"4,41,564.50",0,"4,41,564.50"
Purchase,0,"55,195.56","3,86,368.94"
Reversal,0,"38,636.89","3,47,732.05"
RTGS,0,"43,466.51","3,04,265.54"
Miscellaneous,2.1,0,"3,04,267.64"
Bill,0,"76,066.91","2,28,200.73"
Cheque,0,"45,640.15","1,82,560.58"
Bill,0,"20,284.51","1,62,276.07"
RTGS,0,"23,182.30","1,39,093.77"
NEFT,0,"17,386.72","1,21,707.05"
Bill,"3,45,036.00",0,"4,66,743.05"
Debit Card,0,0,"4,66,743.05"
Transfer,83,0,"4,66,826.05"
Cash,"5,85,181.25",0,"10,52,007.30"
Debit Card,"1,31,446.90",0,"11,83,454.20"
Miscellaneous,0,"1,31,494.91","10,51,959.29"
Cheque,0,"2,10,391.86","8,41,567.43"
Transfer,"30,987.50",0,"8,72,554.93"
Cash,0,"1,74,510.99","6,98,043.94"
Interest,539.81,0,"6,98,583.75"
Transfer,"5,52,163.50",0,"12,50,747.25"
Cheque,0,"1,38,971.92","11,11,775.33"
Transfer,0,"11,11,775.33",0
Miscellaneous,"10,07,888.75",0,"10,07,888.75"
Reversal,"1,38,590.50",0,"11,46,479.25"
Reversal,0,"2,29,295.85","9,17,183.40"
Purchase,4.33,0,"9,17,187.73"
Debit Card,"3,723.57",0,"9,20,911.30"
RTGS,0,"1,53,485.22","7,67,426.08"
RTGS,0,"95,928.26","6,71,497.82"
Cash,"1,469.82",0,"6,72,967.64"
Cash,0,"2,24,322.55","4,48,645.09"
Debit Card,0,"4,48,645.09",0
IMPS,"3,165.00",0,"3,165.00"
IMPS,"71,925.75",0,"75,090.75"
Interest,0,"12,515.13","62,575.62"
Debit Card,906.3,0,"63,481.92"
Tax,0,"63,481.92",0
Bill,0.3,0,0.3
Transfer,"3,902.60",0,"3,902.90"
NEFT,0,975.73,"2,927.18"
Cheque,218,0,"3,145.18"
Tax,0,349.46,"2,795.72"
Transfer,0,399.39,"2,396.33"
Debit Card,0,299.54,"2,096.79"
Miscellaneous,0,209.68,"1,887.11"
Commission,0,209.68,"1,677.43"
Cheque,0,209.68,"1,467.75"
Miscellaneous,"3,616.19",0,"5,083.94"
Transfer,"1,389.00",0,"6,472.94"
Cash,0,924.71,"5,548.23"
Tax,"14,75,765.75",0,"14,81,313.98"
Interest,"3,995.00",0,"14,85,308.98"
Reversal,0,"7,42,654.49","7,42,654.49"
Tax,"2,23,112.62",0,"9,65,767.11"
Reversal,0,"1,07,307.46","8,58,459.65"
Cheque,0,"4,29,229.83","4,29,229.82"
Cash,41.4,0,"4,29,271.22"
Reversal,"1,08,738.00",0,"5,38,009.22"
Interest,402.89,0,"5,38,412.11"
Cash,"3,106.00",0,"5,41,518.11"
IMPS,"6,877.00",0,"5,48,395.11"
Cheque,0,"1,37,098.78","4,11,296.33"
Cheque,"19,62,478.75",0,"23,73,775.08"
Commission,"24,790.20",0,"23,98,565.28"
Tax,"3,025.90",0,"24,01,591.18"
RTGS,0.02,0,"24,01,591.20"
Purchase,0,"24,01,591.20",0
Cheque,"96,828.90",0,"96,828.90"
IMPS,0,"32,276.30","64,552.60"
Cheque,0,"7,172.51","57,380.09"
Purchase,"25,676.80",0,"83,056.89"
Purchase,0,"13,842.82","69,214.08"
Purchase,"8,163.00",0,"77,377.08"
Transfer,"12,54,780.00",0,"13,32,157.08"
Purchase,0,"13,32,157.08",0
Bill,"75,695.70",0,"75,695.70"
NEFT,0,"15,139.14","60,556.56"
Cheque,499.7,0,"61,056.26"
RTGS,30.3,0,"61,086.56"
Transfer,0,"10,181.09","50,905.47"
Miscellaneous,"17,154.00",0,"68,059.47"
Cash,0,"9,722.78","58,336.69"
RTGS,2,0,"58,338.69"
RTGS,"5,18,035.50",0,"5,76,374.19"
Tax,202.11,0,"5,76,576.30"
Tax,0,"1,92,192.10","3,84,384.20"
ATM,169,0,"3,84,553.20"
Debit Card,"3,56,878.50",0,"7,41,431.70"
Cheque,0,"1,85,357.93","5,56,073.77"
Reversal,5.91,0,"5,56,079.68"
Cash,"28,085.30",0,"5,84,164.98"
Debit Card,0,"1,94,721.66","3,89,443.32"
Cash,0,"43,271.48","3,46,171.84"
Tax,0,"57,695.31","2,88,476.53"
Cash,0,"28,847.65","2,59,628.88"
Transfer,"10,685.00",0,"2,70,313.88"
IMPS,3.3,0,"2,70,317.18"
Miscellaneous,56,0,"2,70,373.18"
Bill,0,"27,037.32","2,43,335.86"
IMPS,"14,813.00",0,"2,58,148.86"
RTGS,"2,993.20",0,"2,61,142.06"
NEFT,0,"43,523.68","2,17,618.38"
Miscellaneous,45.1,0,"2,17,663.48"
Cheque,0,"21,766.35","1,95,897.13"
Purchase,61.92,0,"1,95,959.05"
Cash,0,"97,979.53","97,979.52"
RTGS,8,0,"97,987.52"
ATM,0,"19,597.50","78,390.02"
ATM,"8,34,213.25",0,"9,12,603.27"
Interest,0.49,0,"9,12,603.76"
Miscellaneous,0,"1,01,400.42","8,11,203.34"
Cheque,71.1,0,"8,11,274.44"
Purchase,"3,583.00",0,"8,14,857.44"
Cheque,"22,713.00",0,"8,37,570.44"
Miscellaneous,0,"1,19,652.92","7,17,917.52"
Transfer,0,"79,768.61","6,38,148.91"
NEFT,0,"1,59,537.23","4,78,611.68"
Interest,0,"4,78,611.68",0
Commission,41.7,0,41.7
Commission,0,4.63,37.07
Bill,139,0,176.07
IMPS,"8,575.00",0,"8,751.07"
Reversal,0,972.34,"7,778.73"
NEFT,0,"1,111.25","6,667.48"
Cash,"9,449.80",0,"16,117.28"
Debit Card,56.98,0,"16,174.26"
Debit Card,"2,49,924.00",0,"2,66,098.26"
Purchase,0,"38,014.04","2,28,084.22"
Cheque,0,"38,014.04","1,90,070.18"
Bill,0,"27,152.88","1,62,917.30"
Bill,0,"16,291.73","1,46,625.57"
Commission,2,0,"1,46,627.57"
Interest,"74,819.00",0,"2,21,446.57"
Miscellaneous,0,"2,21,446.57",0
Reversal,315.5,0,315.5
Tax,"1,33,714.00",0,"1,34,029.50"
Commission,0,"33,507.38","1,00,522.12"
Bill,0,"25,130.53","75,391.59"
Bill,"56,031.00",0,"1,31,422.59"
Tax,"2,36,677.70",0,"3,68,100.29"
Purchase,0,"61,350.05","3,06,750.24"
Bill,0,"61,350.05","2,45,400.19"
Debit Card,365.9,0,"2,45,766.09"
Commission,3.72,0,"2,45,769.81"
Bill,4.14,0,"2,45,773.95"
NEFT,0,"27,308.22","2,18,465.73"
Interest,0,"43,693.15","1,74,772.58"
Cheque,0,"34,954.52","1,39,818.06"
Cash,0,"19,974.01","1,19,844.05"
Tax,0,"11,984.41","1,07,859.64"
NEFT,36.7,0,"1,07,896.34"
Miscellaneous,56.8,0,"1,07,953.14"
Interest,0,"35,984.38","71,968.76"
Transfer,47.1,0,"72,015.86"
Reversal,0,"12,002.64","60,013.22"
Tax,0,"6,668.14","53,345.08"
ATM,0,"13,336.27","40,008.81"
Cheque,506,0,"40,514.81"
Transfer,"16,07,222.75",0,"16,47,737.56"
ATM,0,"4,11,934.39","12,35,803.17"
Tax,453.2,0,"12,36,256.37"
Cheque,0,"12,36,256.37",0
IMPS,"3,238.80",0,"3,238.80"
ATM,0,647.76,"2,591.04"
Miscellaneous,0,370.15,"2,220.89"
Commission,0,0,"2,220.89"
Debit Card,0,"1,110.45","1,110.44"
Transfer,0,123.38,987.06
Transfer,0,987.06,0
IMPS,52,0,52
Tax,"2,237.00",0,"2,289.00"
Tax,0,381.5,"1,907.50"
Miscellaneous,"3,098.92",0,"5,006.42"
IMPS,0,500.64,"4,505.78"
Reversal,"14,72,322.75",0,"14,76,828.53"
Transfer,"1,057.00",0,"14,77,885.53"
Reversal,"24,335.00",0,"15,02,220.53"
Interest,"11,66,202.00",0,"26,68,422.53"
Bill,0,"4,44,737.09","22,23,685.44"
RTGS,0,"2,22,368.54","20,01,316.90"
Commission,0,"6,67,105.63","13,34,211.27"
ATM,"23,150.60",0,"13,57,361.87"
Purchase,0,"1,50,817.99","12,06,543.88"
Debit Card,0,"6,03,271.94","6,03,271.94"
NEFT,500.7,0,"6,03,772.64"
Purchase,0,"60,377.26","5,43,395.38"
ATM,0,"67,924.42","4,75,470.96"
Cheque,"19,848.77",0,"4,95,319.73"
Cash,0,"55,035.53","4,40,284.20"
NEFT,"1,65,403.38",0,"6,05,687.58"
Commission,"30,281.84",0,"6,35,969.42"
Bill,0,"63,596.94","5,72,372.48"
Commission,"48,068.53",0,"6,20,441.01"
ATM,0,"77,555.13","5,42,885.88"
Bill,0,"1,80,961.96","3,61,923.92"
NEFT,52,0,"3,61,975.92"
Interest,281.58,0,"3,62,257.50"
Tax,0,"1,20,752.50","2,41,505.00"
Purchase,0,"60,376.25","1,81,128.75"
Commission,"2,559.63",0,"1,83,688.38"
Cheque,"32,620.00",0,"2,16,308.38"
Cash,0,"54,077.10","1,62,231.28"
Cash,0,"23,175.90","1,39,055.38"
